SpineBaseX,SpineBaseY,SpineBaseZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,KneeLeftX,KneeLeftY,KneeLeftZ,KneeRightX,KneeRightY,KneeRightZ
0.02110922,-0.1926783,1.808401,-0.05994343,-0.1856796,1.771805,-0.1365648,-0.5132884,1.676279,0.1012462,-0.1916311,1.769514,0.1662443,-0.5518915,1.732859
0.003051126,-0.1928186,1.805984,-0.07677623,-0.1856374,1.768583,-0.1477873,-0.5154541,1.676481,0.0826854,-0.1919481,1.767946,0.1532409,-0.5514593,1.720978
-0.01436515,-0.1935724,1.804657,-0.09383008,-0.1859222,1.766782,-0.1594293,-0.5190841,1.675604,0.06568503,-0.1931297,1.767085,0.138179,-0.5494251,1.70697
-0.02873811,-0.1928242,1.802513,-0.1084365,-0.1847176,1.763047,-0.1687662,-0.5211549,1.675614,0.05198832,-0.1928295,1.766433,0.1186034,-0.5461566,1.689201
-0.04320298,-0.1904738,1.801364,-0.1213389,-0.1827303,1.761549,-0.1781765,-0.5262901,1.676026,0.03668214,-0.1902195,1.765729,0.1005427,-0.5423359,1.674668
-0.05872699,-0.1866771,1.799989,-0.1368026,-0.1783996,1.758861,-0.1849513,-0.5298381,1.677735,0.02169185,-0.187083,1.765624,0.08298628,-0.53677,1.660075
-0.07339387,-0.1828972,1.798953,-0.1514171,-0.1738466,1.755478,-0.1918643,-0.5330057,1.680327,0.007313518,-0.1841463,1.76687,0.06638532,-0.5358082,1.646779
-0.08572967,-0.1780839,1.796898,-0.1628106,-0.168627,1.751944,-0.1971803,-0.5341372,1.683041,-0.005291245,-0.1799921,1.766366,0.04781621,-0.5321766,1.634109
-0.1052347,-0.1739504,1.791734,-0.1820753,-0.16402,1.744972,-0.2092245,-0.5420813,1.689464,-0.02403698,-0.1765214,1.763027,0.01250551,-0.5272837,1.617803
-0.1130386,-0.1740906,1.789326,-0.1896187,-0.1639389,1.742131,-0.2139695,-0.5460616,1.691388,-0.0317568,-0.1768823,1.76109,-0.003934529,-0.5245324,1.614608
-0.1205987,-0.1750306,1.786406,-0.1968322,-0.1645361,1.739336,-0.2178497,-0.5494637,1.691856,-0.0393183,-0.178134,1.758088,-0.02032329,-0.5248078,1.612138
-0.1263175,-0.176671,1.784494,-0.2021452,-0.1660584,1.737484,-0.2216481,-0.555029,1.692552,-0.04519055,-0.1798198,1.756153,-0.03166429,-0.5265548,1.612156
-0.1312278,-0.1787983,1.782285,-0.2070125,-0.168233,1.735851,-0.2262557,-0.5978978,1.693405,-0.04996961,-0.1818224,1.753357,-0.04248886,-0.5288505,1.61306
-0.1382977,-0.1817647,1.780977,-0.2134146,-0.1708343,1.73525,-0.2302912,-0.5690125,1.689823,-0.05740725,-0.1850346,1.751353,-0.05186602,-0.5323544,1.615003
-0.1392765,-0.1821089,1.780707,-0.2143654,-0.1711717,1.734958,-0.2303353,-0.5690022,1.689908,-0.05835405,-0.1853637,1.751122,-0.05123557,-0.535215,1.615959
-0.139571,-0.1822404,1.780592,-0.2147528,-0.1713546,1.734854,-0.2308344,-0.568072,1.690336,-0.05855475,-0.185446,1.751009,-0.0494362,-0.5343574,1.616574
-0.1398632,-0.1820926,1.780384,-0.2151122,-0.1711847,1.734719,-0.2315948,-0.5638922,1.691357,-0.05877961,-0.1853148,1.750722,-0.04265578,-0.5297654,1.617977
-0.1397494,-0.1818094,1.780343,-0.2150712,-0.1708909,1.734622,-0.2318389,-0.560813,1.692485,-0.05857699,-0.1850254,1.75074,-0.03546249,-0.5278707,1.62031
-0.1391857,-0.1813576,1.780517,-0.2146136,-0.1704951,1.734728,-0.2317115,-0.5560956,1.694152,-0.05790975,-0.1845316,1.750996,-0.02542236,-0.5258198,1.623324
-0.1375226,-0.1807166,1.781051,-0.2133383,-0.1699354,1.735039,-0.2303992,-0.5526112,1.695742,-0.05586626,-0.1838374,1.7518,-0.01270918,-0.5265975,1.627132
-0.1344456,-0.1801496,1.781492,-0.2107669,-0.1691585,1.734985,-0.2288294,-0.5498081,1.696793,-0.05228873,-0.1835385,1.752812,0.004015426,-0.5275958,1.632128
-0.1300993,-0.1795185,1.781813,-0.206959,-0.168321,1.734446,-0.2267392,-0.5456194,1.698045,-0.04745693,-0.1831439,1.754058,0.01838163,-0.5240527,1.637958
-0.1243895,-0.1788202,1.78253,-0.2016638,-0.1675752,1.735091,-0.223288,-0.5390029,1.700318,-0.04177568,-0.1825329,1.754751,0.03377112,-0.5183291,1.645379
-0.1173965,-0.1779726,1.783346,-0.1947996,-0.1667822,1.736232,-0.2204189,-0.5327835,1.701652,-0.03501206,-0.1816609,1.755175,0.04788789,-0.5165527,1.651395
-0.107409,-0.1777127,1.783892,-0.1851227,-0.1664054,1.737163,-0.2176775,-0.5302563,1.702823,-0.02515626,-0.1815202,1.755272,0.06138188,-0.5173563,1.65775
-0.08301556,-0.179687,1.782587,-0.1608198,-0.1683957,1.736252,-0.2073561,-0.5216269,1.704715,-0.00171147,-0.1833757,1.753516,0.08967181,-0.5237685,1.6681
-0.06797923,-0.1817708,1.782248,-0.1453337,-0.1708376,1.736295,-0.1968088,-0.5155237,1.703468,0.01225836,-0.1850276,1.752786,0.1035322,-0.5276679,1.672776
-0.05149922,-0.1839673,1.781227,-0.1290519,-0.1737459,1.736284,-0.1862328,-0.5125511,1.701035,0.02830445,-0.1864197,1.750728,0.1146125,-0.5314456,1.676093
-0.03410588,-0.1858693,1.780181,-0.1114956,-0.1761278,1.735543,-0.173542,-0.508213,1.6976,0.04471454,-0.1877542,1.749374,0.1264145,-0.5351648,1.679276
-0.01441951,-0.1867617,1.779108,-0.09170198,-0.1773421,1.734497,-0.1610752,-0.5102653,1.693999,0.06345123,-0.1882757,1.748259,0.139571,-0.5368072,1.679888
0.02939504,-0.1874369,1.775481,-0.04799509,-0.1785719,1.727566,-0.1360646,-0.51567,1.684079,0.1056801,-0.1883508,1.747851,0.1720044,-0.5357052,1.677716
0.05012054,-0.1871168,1.774066,-0.02689784,-0.1777329,1.724129,-0.1209668,-0.5187404,1.676445,0.1251305,-0.1885221,1.748436,0.1869917,-0.5347246,1.675982
0.0712712,-0.1867638,1.773463,-0.00582499,-0.1775942,1.722713,-0.1071323,-0.5219936,1.66895,0.1452589,-0.1879885,1.748749,0.1991381,-0.5340599,1.676682
0.08877125,-0.1857903,1.773519,0.01049532,-0.1768423,1.722054,-0.08387163,-0.5187589,1.652905,0.1632531,-0.186827,1.749627,0.2160912,-0.5359508,1.678191
0.1067833,-0.1846777,1.77379,0.02825109,-0.1762149,1.722663,-0.06470832,-0.5167047,1.637573,0.1807004,-0.1852935,1.749595,0.225149,-0.5369507,1.679893
0.1254097,-0.1832729,1.773321,0.04691566,-0.1750627,1.721634,-0.04221737,-0.5121301,1.619098,0.1985162,-0.1837028,1.749718,0.2333782,-0.5385301,1.682448
0.1490612,-0.1832493,1.772654,0.06990355,-0.1741359,1.720133,-0.00256236,-0.5103317,1.583691,0.2218486,-0.1845905,1.749972,0.2495545,-0.5443217,1.685648
0.1611207,-0.1813698,1.772259,0.08253091,-0.1725182,1.719047,0.01341524,-0.5189556,1.570891,0.2328542,-0.1825412,1.750256,0.2551352,-0.5475274,1.68715
0.1705741,-0.1809367,1.770553,0.09251373,-0.1722031,1.716238,0.02673424,-0.5282742,1.560092,0.241427,-0.182006,1.749599,0.260778,-0.5508362,1.688096
0.1806707,-0.1804332,1.768573,0.103438,-0.1711935,1.71294,0.04097186,-0.5303747,1.554254,0.2503178,-0.1819559,1.748872,0.2653569,-0.5547582,1.688659
0.1920668,-0.1798147,1.765695,0.1153541,-0.1706022,1.708977,0.05515212,-0.5351689,1.550525,0.2605897,-0.181357,1.74715,0.2707917,-0.5601875,1.68943
0.2026723,-0.1807787,1.756932,0.1252896,-0.1719855,1.701244,0.0826885,-0.5647589,1.548677,0.2713684,-0.1817851,1.73737,0.2795894,-0.6037909,1.689774
0.2082416,-0.181895,1.75261,0.1307803,-0.1736831,1.697683,0.09307134,-0.5731274,1.553466,0.2767496,-0.1822582,1.732373,0.2805452,-0.6081059,1.688738
0.2153638,-0.1814589,1.748918,0.1380483,-0.1740497,1.694313,0.09702229,-0.5765483,1.554853,0.2834094,-0.1810602,1.728469,0.2820961,-0.6098051,1.687766
0.2202786,-0.181193,1.745581,0.1429061,-0.174255,1.690704,0.09998137,-0.5782217,1.556733,0.2881259,-0.1803522,1.725472,0.2847164,-0.6103508,1.68572
0.2236797,-0.1816353,1.743123,0.1464232,-0.1750222,1.688849,0.1020975,-0.580113,1.558493,0.2913042,-0.180435,1.72238,0.2868804,-0.610433,1.68342
0.2253477,-0.1821266,1.741884,0.1480173,-0.1755463,1.688146,0.1029888,-0.5811966,1.559893,0.2929864,-0.1808703,1.72053,0.2888656,-0.6108639,1.681293
0.226556,-0.1826006,1.740625,0.1490132,-0.1760945,1.687463,0.103204,-0.581654,1.560662,0.2943618,-0.1812039,1.718586,0.2911214,-0.610433,1.678746
0.2272425,-0.182899,1.739526,0.1494882,-0.1763895,1.687038,0.1033545,-0.5821526,1.561284,0.2952248,-0.1814378,1.716578,0.2940376,-0.6069394,1.674558
0.2275679,-0.1834789,1.738648,0.1496805,-0.1768606,1.686812,0.1031534,-0.5840828,1.562146,0.2956957,-0.1820913,1.714746,0.2955391,-0.6060607,1.671836
0.2275503,-0.1835815,1.738497,0.1496182,-0.1769303,1.686872,0.1025917,-0.5847825,1.562985,0.2957727,-0.1822948,1.714108,0.2961203,-0.605499,1.670379
0.2274604,-0.1836039,1.738513,0.1492619,-0.1769512,1.687335,0.1010565,-0.5857145,1.564617,0.295715,-0.1823433,1.713978,0.2962243,-0.6051861,1.669691
0.2266686,-0.1834568,1.739093,0.1473605,-0.1766421,1.690034,0.09858016,-0.5864454,1.566908,0.295408,-0.1822722,1.71387,0.2961867,-0.6042125,1.669278
0.2233842,-0.1817309,1.742903,0.1419698,-0.1741191,1.698087,0.08527191,-0.5658969,1.581631,0.294241,-0.1814638,1.7146,0.2937053,-0.5951587,1.671004
0.22116,-0.1811111,1.745279,0.1384024,-0.1734841,1.703529,0.07405624,-0.52298,1.59108,0.2933564,-0.181056,1.714849,0.2895916,-0.5668458,1.674023
0.2179734,-0.1803206,1.749157,0.1338161,-0.1733753,1.712213,0.06914826,-0.5179176,1.593998,0.29176,-0.180158,1.71527,0.2874713,-0.5593626,1.675614
0.2147865,-0.179793,1.751922,0.1300834,-0.1733978,1.71717,0.06207233,-0.5153981,1.598325,0.2896146,-0.1792554,1.715479,0.2852104,-0.555312,1.677293
0.2094524,-0.1792377,1.755342,0.1249415,-0.1729891,1.721595,0.05142755,-0.5119733,1.607336,0.2849916,-0.178425,1.716582,0.282223,-0.551338,1.67983
0.2025671,-0.1795191,1.757558,0.1182135,-0.1731992,1.724646,0.04044465,-0.5085361,1.61508,0.2782844,-0.1785521,1.717055,0.2781153,-0.5480096,1.682985
0.1947481,-0.1795048,1.759583,0.1106845,-0.172904,1.727104,0.02743599,-0.5082843,1.622658,0.2705501,-0.1786744,1.717963,0.2748021,-0.5446846,1.685552
0.174349,-0.1795221,1.7632,0.0913199,-0.1723754,1.730775,0.001712919,-0.5104899,1.636778,0.2499069,-0.1790948,1.720733,0.2666097,-0.5383847,1.688833
0.1642168,-0.1800711,1.763171,0.08146432,-0.1730077,1.731152,-0.009602888,-0.5133482,1.642196,0.239916,-0.1794975,1.720122,0.2613859,-0.5343798,1.688232
0.1516145,-0.1798513,1.763229,0.06930531,-0.1726587,1.731589,-0.02050118,-0.5161996,1.64723,0.2274192,-0.1793905,1.719665,0.2558392,-0.532643,1.687206
0.136742,-0.1801526,1.761692,0.05466705,-0.172508,1.72985,-0.02939878,-0.5209933,1.650939,0.2129481,-0.1801034,1.718237,0.2470582,-0.5303366,1.684245
0.1205686,-0.1796646,1.761889,0.03940206,-0.1714907,1.730179,-0.03907644,-0.525093,1.655804,0.1965462,-0.1801754,1.718231,0.2376143,-0.5281075,1.681221
0.1026799,-0.1800636,1.759346,0.02140046,-0.1714717,1.727348,-0.04830606,-0.5266024,1.657258,0.1795475,-0.1809347,1.715919,0.2227606,-0.5282685,1.676459
0.08291395,-0.1790023,1.758606,0.002348163,-0.1698626,1.726751,-0.06109812,-0.5253041,1.660747,0.1599108,-0.1804679,1.714991,0.2088808,-0.5275613,1.672886
0.06539913,-0.1781061,1.756136,-0.01524189,-0.1684839,1.72476,-0.07486439,-0.5238484,1.663531,0.1432067,-0.1800643,1.712021,0.194949,-0.5269861,1.66748
0.04453815,-0.1783162,1.753516,-0.03562207,-0.1682795,1.722594,-0.08470763,-0.5243716,1.663763,0.1227884,-0.1806741,1.708918,0.1786953,-0.5255497,1.659516
0.02567956,-0.1784105,1.752729,-0.05425119,-0.1677259,1.721588,-0.09545124,-0.5282294,1.664791,0.1045061,-0.1814027,1.708338,0.1648976,-0.5267515,1.650938
